,State,Date,Case,Population,Case_1m,Daily_Case,Daily_Case_1m,Daily_Case_1m_sm,Daily_Case_1m_Change,Daily_Case_1m_RoC,retail,grocery,parks,transit,workplace,residential,location_name,location_id,peak_bed_day_mean,peak_bed_day_lower,peak_bed_day_upper,peak_icu_bed_day_mean,peak_icu_bed_day_lower,peak_icu_bed_day_upper,peak_vent_day_mean,peak_vent_day_lower,peak_vent_day_upper,all_bed_capacity,icu_bed_capacity,all_bed_usage,icu_bed_usage,available_all_nbr,available_icu_nbr,travel_limit_start_date,travel_limit_end_date,stay_home_start_date,stay_home_end_date,educational_fac_start_date,educational_fac_end_date,any_gathering_restrict_start_date,any_gathering_restrict_end_date,any_business_start_date,any_business_end_date,all_non-ess_business_start_date,all_non-ess_business_end_date,stay_home_days,non_essential_closed_days
0,Alabama,2020-02-24,0,4903185.0,0.0,0,0.0,0.0,0.0,0.0,-3.6842105263157894,-5.854838709677419,-19.6,-1.5,0.6176470588235294,2.1538461538461537,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
1,Alabama,2020-02-25,0,4903185.0,0.0,0,0.0,0.0,0.0,0.0,8.403508771929825,-0.609375,31.833333333333332,5.681818181818182,0.9852941176470589,-0.41025641025641024,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
2,Alabama,2020-02-26,0,4903185.0,0.0,0,0.0,0.0,0.0,0.0,18.63157894736842,3.492063492063492,5.0,10.714285714285714,1.8823529411764706,-1.205128205128205,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
3,Alabama,2020-02-27,0,4903185.0,0.0,0,0.0,0.0,0.0,0.0,16.649122807017545,5.838709677419355,9.846153846153847,10.181818181818182,2.1029411764705883,-0.9743589743589743,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
4,Alabama,2020-02-28,0,4903185.0,0.0,0,0.0,0.0,0.0,0.0,14.225806451612904,6.015625,20.357142857142858,8.0,1.0,-1.5789473684210527,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
5,Alabama,2020-02-29,0,4903185.0,0.0,0,0.0,0.0,0.0,0.0,19.689655172413794,9.015625,73.33333333333333,19.6,4.0588235294117645,-3.0434782608695654,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
6,Alabama,2020-03-01,0,4903185.0,0.0,0,0.0,0.0,0.0,0.0,22.574074074074073,9.836065573770492,43.86666666666667,22.2,2.92,-2.0952380952380953,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
7,Alabama,2020-03-02,0,4903185.0,0.0,0,0.0,0.0,0.0,0.0,10.035087719298245,2.380952380952381,-11.933333333333334,2.590909090909091,2.5074626865671643,0.5641025641025641,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
8,Alabama,2020-03-03,0,4903185.0,0.0,0,0.0,0.0,0.0,0.0,26.517857142857142,15.209677419354838,33.25,5.636363636363637,1.6176470588235294,-1.3846153846153846,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
9,Alabama,2020-03-04,0,4903185.0,0.0,0,0.0,0.0,0.0,0.0,7.421052631578948,-1.492063492063492,-5.583333333333333,2.8095238095238093,-0.29411764705882354,1.0769230769230769,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
